"Time of Day","Process Name","PID","Operation","Path","Detail"
"8:02:27.4006069 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\wscisvif.dll","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4022099 AM","MsMpEng.exe","2704","Load Image","C:\Windows\System32\wscisvif.dll","Image Base: 0x7fff01ae0000, Image Size: 0xb000"
"8:02:27.4049685 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\wscproxystub.dll","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4078276 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\wscproxystub.dll","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4100410 AM","MsMpEng.exe","2704","Load Image","C:\Windows\System32\wscproxystub.dll","Image Base: 0x7ffeff950000, Image Size: 0x9000"
"8:02:27.4104691 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\wscisvif.dll","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open For Backup, Open No Recall, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4128663 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\AppHostRegistrationVerifier.exe","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4140933 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\AppHostRegistrationVerifier.exe","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4144086 AM","svchost.exe","8276","RegCreateKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","Desired Access: Query Value, Disposition: REG_OPENED_EXISTING_KEY"
"8:02:27.4148884 AM","svchost.exe","8276","RegCreateKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","Desired Access: Query Value, Disposition: REG_OPENED_EXISTING_KEY"
"8:02:27.4151305 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\AppHostRegistrationVerifier.exe","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4151669 AM","svchost.exe","8276","RegCreateKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","Desired Access: Query Value, Disposition: REG_OPENED_EXISTING_KEY"
"8:02:27.4155287 AM","svchost.exe","8276","RegCreateKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","Desired Access: Query Value, Disposition: REG_OPENED_EXISTING_KEY"
"8:02:27.4158879 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\AppHostRegistrationVerifier.exe","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:02:27.4164628 AM","MsMpEng.exe","2704","CreateFile","C:\Windows\System32\AppHostRegistrationVerifier.exe","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
